X,Y,TotalVolunteers,DateOriginal,Totalltems_EventRecord
-156.6063,20.80923,1,9/29/2018,473
-156.6005,20.80654,4,9/29/2018,805
-156.58177,20.79485,2,9/11/2017,100
-156.53731,20.9496,1,6/3/2017,11
-156.51922,20.86543,4,9/16/2017,225
-156.51365,20.79195,2,10/12/2017,33
-156.51286,20.7913,1,3/10/2018,40
-156.51267,20.79136,5,10/9/2016,651
-156.51267,20.79283,1,3/10/2018,2
-156.51184,20.79274,15,9/17/2017,1912
-156.5075,20.9378,14,5/17/2017,856
-156.5075,20.9378,23,5/31/2017,1884
-156.5075,20.9378,23,6/11/2017,1136
-156.5075,20.9378,2,6/21/2017,1050
-156.5075,20.9378,16,7/14/2017,1687
-156.50697,20.79498,2,1/16/2018,51
-156.50648,20.7954,1,5/7/2018,72
-156.50368,20.79682,21,5/23/2018,284
-156.50367,20.79678,1,12/13/2017,294
-156.50042,20.93109,15,9/16/2017,568
-156.50027,20.88814,30,10/20/2019,0
-156.50008,20.80454,2,10/2/2017,9
-156.50001,20.90476,1,11/11/2017,7
-156.49937,20.93119,2,9/25/2016,87
-156.49926,20.86115,2,9/15/2018,113
-156.49905,20.93231,2,3/23/2018,5
-156.49695,20.93155,4,7/13/2019,75
-156.49665,20.93111,2,3/23/2018,48
-156.49505,20.8845,4,9/21/2019,404
-156.49418,20.92274,1,5/11/2018,184
-156.49402,20.92284,1,5/11/2018,232
-156.49382,20.92248,1,3/3/2018,0
-156.49381,20.79706,1,2/3/2018,122
-156.49374,20.79706,1,7/13/2018,52
-156.49343,20.79691,2,12/8/2017,32
-156.4934,20.79685,1,1/18/2018,9
-156.49327,20.79687,1,2/5/2018,166
-156.49324,20.79681,1,4/1/2018,64
-156.49311,20.79683,1,6/17/2018,126
-156.49308,20.79683,1,6/29/2018,29
-156.49308,20.79687,1,11/1/2017,29
-156.49307,20.79681,1,9/16/2017,19
-156.49306,20.79682,1,10/20/2017,20
-156.49306,20.79682,1,5/17/2018,28
-156.49305,20.79683,2,9/20/2017,14
-156.49305,20.79684,1,10/22/2017,16
-156.49305,20.79687,1,11/5/2017,25
-156.493028,20.92421,1,2/21/2018,59
-156.493028,20.92421,1,3/28/2018,716
-156.493028,20.92421,1,4/25/2018,221
-156.493028,20.92421,1,5/30/2018,249
-156.493028,20.92421,1,6/27/2018,140
-156.493028,20.92421,1,7/25/2018,66
-156.493028,20.92421,1,8/22/2018,425
-156.493028,20.92421,1,9/26/2018,307
-156.493028,20.92421,1,10/24/2018,161
-156.493028,20.92421,1,11/28/2018,172
-156.493028,20.92421,1,12/20/2018,205
-156.49291,20.92235,16,9/16/2017,565
-156.49284,20.79675,1,5/4/2018,20
-156.49269,20.92236,9,9/25/2016,1202
-156.49241,20.79654,2,9/9/2017,55
-156.49238,20.79657,1,12/4/2017,6
-156.49215,20.79647,1,5/4/2018,55
-156.49192,20.91709,13,9/24/2017,2632
-156.49122,20.79629,1,3/3/2018,49
-156.4912,20.79614,1,9/30/2017,21
-156.49093,20.79605,2,11/24/2017,24
-156.49046,20.7959,1,4/20/2018,59
-156.49027,20.79638,1,5/14/2018,25
-156.49023,20.79592,2,3/7/2018,15
-156.4901,20.79597,2,9/8/2017,10
-156.48985,20.79818,2,11/8/2019,58
-156.48914,20.79586,1,4/8/2018,33
-156.48839,20.79594,1,2/21/2018,52
-156.48839,20.79632,3,5/28/2020,10
-156.48809,20.79593,1,3/27/2018,88
-156.488,20.9101,7,1/25/2015,2787
-156.488,20.9101,14,3/22/2015,6205
-156.488,20.9101,11,4/26/2015,4311
-156.48795,20.79581,2,10/15/2017,14
-156.48791,20.89879,4,9/21/2019,150
-156.4876351,20.79570947,2,9/21/2019,913
-156.4875,20.79571,2,10/30/2017,50
-156.48743,20.79612,1,12/4/2017,62
-156.48706,20.79562,1,10/19/2017,14
-156.48704,20.79576,2,10/7/2017,14
-156.48678,20.7956,2,4/30/2018,90
-156.48678,20.89951,1,6/8/2018,118
-156.48647,20.79545,1,1/22/2018,87
-156.48646,20.79547,5,9/7/2017,37
-156.4861,20.79554,3,3/15/2018,93
-156.48604,20.79537,2,5/22/2018,72
-156.48585,20.79534,1,12/4/2017,29
-156.48564,20.79604,2,11/19/2017,66
-156.4856,20.79598,2,3/3/2018,0
-156.48558,20.79563,2,9/16/2017,0
-156.48555,20.79594,1,4/20/2018,0
-156.48555,20.79596,1,2/27/2018,46
-156.48554,20.79593,2,9/30/2017,14
-156.48551,20.7959,1,2/25/2018,110
-156.48547,20.79521,2,11/27/2017,52
-156.48543,20.79581,1,11/14/2017,57
-156.48541,20.7958,2,12/8/2017,42
-156.48539,20.79582,1,2/11/2018,75
-156.48538,20.79583,1,12/1/2017,36
-156.48537,20.7958,1,4/26/2018,68
-156.48536,20.79543,2,11/8/2019,30
-156.48531,20.79575,1,10/19/2017,1
-156.4853,20.79567,1,4/24/2018,53
-156.48529,20.79567,1,2/5/2018,4
-156.48528,20.79564,2,9/24/2017,17
-156.48527,20.79568,1,6/20/2018,75
-156.48524,20.79569,0,11/24/2017,60
-156.48523,20.79545,3,11/8/2019,94
-156.48521,20.79538,7,9/7/2017,256
-156.48511,20.79547,1,6/5/2018,53
-156.4851,20.79504,4,10/19/2018,170
-156.4851,20.79511,2,12/24/2017,85
-156.4851,20.79549,2,10/30/2017,56
-156.4851,20.79549,1,1/18/2018,52
-156.48509,20.79545,2,5/4/2018,23
-156.48509,20.79549,1,3/29/2018,172
-156.48508,20.79528,1,9/17/2018,21
-156.48508,20.79544,2,1/9/2018,46
-156.48508,20.79546,2,11/6/2017,128
-156.48508,20.79549,1,4/12/2018,169
-156.48507,20.79499,3,10/19/2018,49
-156.48507,20.79546,1,5/14/2018,0
-156.48506,20.79544,2,9/9/2017,6
-156.48506,20.79544,1,4/18/2018,216
-156.48506,20.79546,2,10/26/2017,164
-156.48505,20.79515,1,11/8/2019,103
-156.48505,20.79549,2,2/16/2018,73
-156.48504,20.79543,1,5/7/2018,12
-156.48503,20.79544,1,10/4/2017,16
-156.48498,20.79503,2,11/29/2017,42
-156.48494,20.79519,1,2/14/2018,46
-156.48494,20.79533,2,11/10/2017,165
-156.48493,20.79504,1,1/30/2018,117
-156.48493,20.79534,2,4/29/2018,35
-156.48487,20.795,2,9/13/2018,28
-156.48487,20.79527,2,10/28/2017,59
-156.48484,20.79529,1,1/20/2018,85
-156.48483,20.79486,4,10/19/2018,40
-156.48483,20.79528,2,1/28/2018,55
-156.4848,20.79525,2,10/15/2017,8
-156.4847,20.79519,2,11/17/2017,35
-156.48469,20.79516,2,11/17/2017,21
-156.48462,20.79492,1,2/3/2018,202
-156.4846,20.7951,1,4/1/2018,51
-156.48432,20.79485,1,3/25/2018,145
-156.48429,20.79479,1,2/7/2018,91
-156.48419,20.79483,1,2/13/2018,59
-156.4841,20.89981,1,9/21/2019,818
-156.4833,20.90301,1,11/11/2017,55
-156.48154,20.87219,1,8/2/2017,4
-156.4811,20.90047,13,9/17/2016,2510
-156.48062,20.89922,0,9/10/2017,46
-156.48057,20.89895,1,3/5/2018,154
-156.48038,20.89815,1,9/16/2017,385
-156.48033,20.89848,2,1/14/2018,93
-156.48028,20.79261,3,10/19/2018,28
-156.48026,20.89792,1,5/9/2018,5
-156.48026,20.89795,2,9/29/2017,16
-156.48026,20.89797,2,12/6/2017,182
-156.48025,20.89795,1,5/11/2018,126
-156.48022,20.89787,1,4/17/2018,219
-156.48022,20.8979,1,6/13/2018,95
-156.48021,20.89775,2,9/10/2017,230
-156.48021,20.89786,2,2/19/2018,48
-156.4802,20.8979,1,9/23/2018,117
-156.4802,20.89836,1,5/9/2018,192
-156.48019,20.89786,2,3/2/2018,122
-156.48018,20.89778,1,11/2/2017,183
-156.48018,20.89781,1,10/5/2017,121
-156.48018,20.89786,2,1/14/2018,161
-156.48016,20.8983,1,9/10/2017,141
-156.48014,20.89774,2,9/10/2017,37
-156.48012,20.89809,1,9/21/2019,199
-156.48012,20.89826,2,9/29/2017,121
-156.48012,20.89826,12,9/29/2017,121
-156.48002,20.89812,3,9/15/2018,1033
-156.47993,20.89349,6,9/16/2017,39
-156.47992,20.89809,1,5/16/2018,117
-156.47936,20.8976,8,9/21/2019,371
-156.47917,20.89684,3,9/15/2018,30
-156.47917,20.89745,3,9/15/2018,814
